NIL;Classe_eta_capofamiglia;Genere_capofamiglia;Numero_componenti;Tipologia_familiare;Cittadinanza;famiglie_2007;famiglie_2008;famiglie_2009;famiglie_2010;famiglie_2011;famiglie_2012;famiglie_2013;famiglie_2014;famiglie_2015
Adriano;18-34;Maschi;2;Monogenitore con figli tutti maggiorenni;Italia;0;0;0;0;0;0;0;2;2
Adriano;18-34;Maschi;3;Altre tipologie;Cina;0;0;0;0;1;1;1;1;1
Adriano;18-34;Maschi;3;Altre tipologie;Italia;6;4;0;3;1;1;1;1;1
Adriano;18-34;Maschi;3;Coppia convivente con almeno un figlio minorenne;Altri paesi;0;3;3;1;0;5;2;2;5
Adriano;18-34;Maschi;3;Coppia convivente con almeno un figlio minorenne;Cina;2;1;0;0;1;3;1;1;1
Adriano;18-34;Maschi;3;Coppia convivente con almeno un figlio minorenne;Ecuador;3;0;0;0;0;0;1;0;0
Adriano;18-34;Maschi;3;Coppia convivente con almeno un figlio minorenne;Egitto;0;0;1;1;0;0;1;5;4
Adriano;18-34;Maschi;3;Coppia convivente con almeno un figlio minorenne;Filippine;3;3;3;4;3;2;2;4;4
Adriano;18-34;Maschi;3;Coppia convivente con almeno un figlio minorenne;Italia;4;10;5;13;8;13;12;12;9
Adriano;18-34;Maschi;3;Coppia convivente con almeno un figlio minorenne;Perù;1;0;0;0;0;1;0;0;0
Adriano;18-34;Maschi;3;Coppia convivente con almeno un figlio minorenne;Sri Lanka;0;0;0;0;0;0;0;0;1
Adriano;18-34;Maschi;3;Coppia sposata con almeno un figlio minorenne;Altri paesi;7;5;6;6;2;1;1;6;8
Adriano;18-34;Maschi;3;Coppia sposata con almeno un figlio minorenne;Cina;3;3;3;3;2;5;4;2;1
Adriano;18-34;Maschi;3;Coppia sposata con almeno un figlio minorenne;Ecuador;0;3;1;1;2;4;2;1;1
Adriano;18-34;Maschi;3;Coppia sposata con almeno un figlio minorenne;Egitto;0;0;1;0;0;1;1;1;1
Adriano;18-34;Maschi;3;Coppia sposata con almeno un figlio minorenne;Filippine;3;1;2;1;3;5;5;4;0
Adriano;18-34;Maschi;3;Coppia sposata con almeno un figlio minorenne;Italia;46;37;40;28;30;33;26;33;35
Adriano;18-34;Maschi;3;Coppia sposata senza figli;Altri paesi;0;0;0;0;0;1;1;0;0
Adriano;18-34;Maschi;3;Coppia sposata senza figli;Italia;0;0;0;0;0;0;0;0;1
Adriano;18-34;Maschi;3;Monogenitore con almeno un figlio minorenne;Altri paesi;1;0;0;0;0;1;2;1;0
Adriano;18-34;Maschi;3;Monogenitore con almeno un figlio minorenne;Cina;1;1;2;0;1;2;1;1;1
Adriano;18-34;Maschi;3;Monogenitore con almeno un figlio minorenne;Ecuador;1;0;0;0;0;0;0;0;0
Adriano;18-34;Maschi;3;Monogenitore con almeno un figlio minorenne;Egitto;1;0;0;0;0;0;0;0;1
Adriano;18-34;Maschi;3;Monogenitore con almeno un figlio minorenne;Filippine;0;0;0;0;0;0;1;1;0
Adriano;18-34;Maschi;3;Monogenitore con almeno un figlio minorenne;Italia;2;0;0;0;0;0;0;1;1
Adriano;18-34;Maschi;3;Monogenitore con almeno un figlio minorenne;Perù;0;0;0;0;0;0;0;0;1
Adriano;18-34;Maschi;3;Monogenitore con almeno un figlio minorenne;Sri Lanka;0;0;0;0;0;0;0;0;1
Adriano;18-34;Maschi;3;Monogenitore con figli tutti maggiorenni;Italia;0;0;0;1;1;1;0;0;0
Adriano;18-34;Maschi;4;Altre tipologie;Altri paesi;0;0;0;0;0;1;0;0;0
Adriano;18-34;Maschi;4;Altre tipologie;Italia;1;0;0;0;0;0;0;0;0
Adriano;18-34;Maschi;4;Coppia convivente con almeno un figlio minorenne;Altri paesi;0;0;0;0;0;2;1;1;1
Adriano;18-34;Maschi;4;Coppia convivente con almeno un figlio minorenne;Cina;0;0;3;3;2;3;4;3;2
Adriano;18-34;Maschi;4;Coppia convivente con almeno un figlio minorenne;Ecuador;0;0;0;0;0;1;0;1;0
Adriano;18-34;Maschi;4;Coppia convivente con almeno un figlio minorenne;Egitto;0;0;0;1;1;1;1;0;1
Adriano;18-34;Maschi;4;Coppia convivente con almeno un figlio minorenne;Filippine;3;3;1;3;1;0;1;2;3
Adriano;18-34;Maschi;4;Coppia convivente con almeno un figlio minorenne;Italia;9;8;10;10;12;9;11;11;7
Adriano;18-34;Maschi;4;Coppia convivente con almeno un figlio minorenne;Perù;0;0;0;1;1;1;0;0;0
Adriano;18-34;Maschi;4;Coppia convivente con almeno un figlio minorenne;Sri Lanka;0;0;0;0;0;0;1;0;0
Adriano;18-34;Maschi;4;Coppia sposata con almeno un figlio minorenne;Altri paesi;3;3;3;2;2;3;4;1;2
Adriano;18-34;Maschi;4;Coppia sposata con almeno un figlio minorenne;Cina;3;3;3;4;3;4;2;3;2
Adriano;18-34;Maschi;4;Coppia sposata con almeno un figlio minorenne;Ecuador;0;2;1;1;0;0;1;1;0
Adriano;18-34;Maschi;4;Coppia sposata con almeno un figlio minorenne;Egitto;4;6;5;4;3;3;3;3;4
Adriano;18-34;Maschi;4;Coppia sposata con almeno un figlio minorenne;Filippine;1;2;0;3;1;1;0;0;2
Adriano;18-34;Maschi;4;Coppia sposata con almeno un figlio minorenne;Italia;16;14;11;16;15;10;12;14;20
Adriano;18-34;Maschi;4;Coppia sposata con almeno un figlio minorenne;Perù;0;0;0;0;0;0;1;0;0
Adriano;18-34;Maschi;4;Coppia sposata con almeno un figlio minorenne;Sri Lanka;0;0;0;0;0;0;0;1;1
Adriano;18-34;Maschi;4;Monogenitore con almeno un figlio minorenne;Cina;0;2;1;0;1;0;0;0;0
Adriano;18-34;Maschi;4;Monogenitore con almeno un figlio minorenne;Italia;0;0;0;1;0;0;0;0;2
Adriano;35-64;Femmine;1;Single;Altri paesi;40;49;55;61;73;88;88;78;73
Adriano;35-64;Femmine;1;Single;Cina;11;9;9;8;12;15;13;19;19
Adriano;35-64;Femmine;1;Single;Ecuador;9;9;10;9;14;14;12;12;14
Adriano;35-64;Femmine;1;Single;Egitto;0;0;0;0;0;0;0;1;1
Adriano;35-64;Femmine;1;Single;Filippine;28;30;31;36;46;53;54;59;49
Adriano;35-64;Femmine;1;Single;Italia;319;323;324;331;402;406;411;415;415
Adriano;35-64;Femmine;1;Single;Perù;12;17;21;21;32;32;32;35;30
Adriano;35-64;Femmine;1;Single;Sri Lanka;3;3;2;1;1;4;3;4;6
Adriano;35-64;Femmine;2;Altre tipologie;Altri paesi;2;2;2;2;1;0;0;2;4
Adriano;35-64;Femmine;2;Altre tipologie;Ecuador;0;0;0;0;0;0;0;1;1
Adriano;35-64;Femmine;2;Altre tipologie;Filippine;0;0;0;0;0;0;1;1;2
Adriano;35-64;Femmine;2;Altre tipologie;Italia;11;14;15;15;17;19;17;21;26
Adriano;35-64;Femmine;2;Altre tipologie;Perù;0;1;1;2;1;2;2;2;2
Adriano;35-64;Femmine;2;Altre tipologie;Sri Lanka;0;0;0;0;0;0;1;1;1
Adriano;35-64;Femmine;2;Coppia convivente senza figli;Altri paesi;0;0;0;0;0;0;1;2;1
Adriano;35-64;Femmine;2;Coppia convivente senza figli;Cina;1;1;1;0;0;0;1;1;1
Adriano;35-64;Femmine;2;Coppia convivente senza figli;Filippine;1;0;0;1;4;4;4;2;4
Adriano;35-64;Femmine;2;Coppia convivente senza figli;Italia;10;10;9;11;11;15;13;17;15
Adriano;35-64;Femmine;2;Coppia convivente senza figli;Perù;2;2;3;1;1;1;2;2;2
Adriano;35-64;Femmine;2;Coppia sposata senza figli;Altri paesi;0;1;1;1;1;2;3;4;6
Adriano;35-64;Femmine;2;Coppia sposata senza figli;Ecuador;0;0;0;0;0;1;1;1;1
Adriano;35-64;Femmine;2;Coppia sposata senza figli;Filippine;10;10;9;9;9;9;9;8;4
Adriano;35-64;Femmine;2;Coppia sposata senza figli;Italia;49;54;48;53;69;69;75;71;70
Adriano;35-64;Femmine;2;Coppia sposata senza figli;Perù;0;0;0;1;1;2;2;1;0
Adriano;35-64;Femmine;2;Monogenitore con almeno un figlio minorenne;Altri paesi;10;10;8;8;13;7;15;15;14
Adriano;35-64;Femmine;2;Monogenitore con almeno un figlio minorenne;Cina;0;4;2;4;5;8;7;7;8
Adriano;35-64;Femmine;2;Monogenitore con almeno un figlio minorenne;Ecuador;4;6;0;1;2;4;3;1;0
Adriano;35-64;Femmine;2;Monogenitore con almeno un figlio minorenne;Egitto;0;0;0;0;0;0;0;1;1
Adriano;35-64;Femmine;2;Monogenitore con almeno un figlio minorenne;Filippine;8;7;7;6;5;7;10;10;9
Adriano;35-64;Femmine;2;Monogenitore con almeno un figlio minorenne;Italia;43;53;55;63;87;91;93;99;102
Adriano;35-64;Femmine;2;Monogenitore con almeno un figlio minorenne;Perù;4;1;2;5;7;9;8;4;3
Adriano;35-64;Femmine;2;Monogenitore con almeno un figlio minorenne;Sri Lanka;0;0;0;1;1;3;2;1;1
Adriano;35-64;Femmine;2;Monogenitore con figli tutti maggiorenni;Altri paesi;2;3;6;7;6;8;7;4;5
Adriano;35-64;Femmine;2;Monogenitore con figli tutti maggiorenni;Cina;1;1;1;1;0;0;2;1;1
Adriano;35-64;Femmine;2;Monogenitore con figli tutti maggiorenni;Ecuador;0;0;2;2;2;2;1;1;2
Adriano;35-64;Femmine;2;Monogenitore con figli tutti maggiorenni;Filippine;1;1;2;1;1;1;1;2;3
Adriano;35-64;Femmine;2;Monogenitore con figli tutti maggiorenni;Italia;83;75;83;93;107;101;112;101;100
Adriano;35-64;Femmine;2;Monogenitore con figli tutti maggiorenni;Perù;0;1;1;1;2;2;1;1;2
Adriano;35-64;Femmine;2;Monogenitore con figli tutti maggiorenni;Sri Lanka;0;0;0;1;1;1;1;1;2
Adriano;35-64;Femmine;3;Altre tipologie;Altri paesi;0;0;0;0;1;1;1;0;0
Adriano;35-64;Femmine;3;Altre tipologie;Italia;4;3;3;2;2;2;2;3;3
Adriano;35-64;Femmine;3;Altre tipologie;Perù;2;0;0;0;1;2;2;0;0
Adriano;35-64;Femmine;3;Coppia convivente con almeno un figlio minorenne;Altri paesi;0;0;0;0;1;2;2;1;2
Adriano;35-64;Femmine;3;Coppia convivente con almeno un figlio minorenne;Cina;0;0;0;0;0;1;0;0;0
Adriano;35-64;Femmine;3;Coppia convivente con almeno un figlio minorenne;Filippine;1;1;1;1;1;1;2;1;3
Adriano;35-64;Femmine;3;Coppia convivente con almeno un figlio minorenne;Italia;13;18;16;15;24;25;28;25;29
Adriano;35-64;Femmine;3;Coppia convivente con almeno un figlio minorenne;Perù;2;0;0;0;1;1;2;2;2
Adriano;35-64;Femmine;3;Coppia convivente con almeno un figlio minorenne;Sri Lanka;0;1;1;1;1;1;1;1;1
Adriano;35-64;Femmine;3;Coppia convivente con figli tutti maggiorenni;Cina;1;0;0;0;0;0;0;0;0
Adriano;35-64;Femmine;3;Coppia convivente con figli tutti maggiorenni;Filippine;0;0;0;1;0;0;0;1;0
Adriano;35-64;Femmine;3;Coppia convivente con figli tutti maggiorenni;Italia;5;4;3;3;4;2;2;4;6
Adriano;35-64;Femmine;3;Coppia convivente con figli tutti maggiorenni;Perù;0;1;0;0;0;0;0;0;0
Adriano;35-64;Femmine;3;Coppia convivente senza figli;Altri paesi;0;0;0;0;0;0;0;0;1
Adriano;35-64;Femmine;3;Coppia convivente senza figli;Cina;0;0;0;1;1;1;1;0;0
Adriano;35-64;Femmine;3;Coppia convivente senza figli;Ecuador;0;0;0;0;0;0;1;0;0
Adriano;35-64;Femmine;3;Coppia convivente senza figli;Filippine;0;0;0;0;0;0;1;2;1
Adriano;35-64;Femmine;3;Coppia convivente senza figli;Italia;1;1;0;0;0;0;0;0;0
Adriano;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Altri paesi;1;2;3;2;3;5;5;4;3
Adriano;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Cina;1;1;2;0;0;0;1;0;0
Adriano;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Ecuador;1;1;0;0;0;1;1;2;2
Adriano;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Filippine;4;3;4;3;2;4;3;6;5
Adriano;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Italia;52;58;51;49;69;71;67;56;59
Adriano;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Perù;0;0;0;1;2;2;1;2;2
Adriano;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Sri Lanka;1;0;1;1;1;1;2;1;1
Adriano;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Altri paesi;2;2;1;2;5;4;3;4;3
Adriano;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Filippine;1;2;1;1;3;3;6;5;5
Adriano;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Italia;10;11;13;13;29;33;34;38;40
Adriano;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Sri Lanka;1;1;1;0;0;0;0;1;1
Adriano;35-64;Femmine;3;Coppia sposata senza figli;Filippine;1;1;1;2;2;2;1;1;2
Adriano;35-64;Femmine;3;Coppia sposata senza figli;Italia;1;1;3;3;2;2;3;2;2
Adriano;35-64;Femmine;3;Coppia sposata senza figli;Perù;0;0;0;0;0;0;0;0;1
Adriano;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Altri paesi;2;4;3;6;6;6;8;8;5
Adriano;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Cina;1;0;0;0;0;0;0;1;2
Adriano;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Ecuador;1;0;2;2;2;2;2;1;2
Adriano;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Egitto;0;0;0;0;0;0;1;1;0
Adriano;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Filippine;1;2;2;1;2;2;3;4;4
Adriano;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Italia;43;50;50;54;80;79;89;82;78
Adriano;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Perù;2;3;4;3;2;6;5;7;8
Adriano;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Sri Lanka;0;0;0;0;0;0;1;0;0
Adriano;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Altri paesi;0;1;2;4;5;5;6;4;4
Adriano;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Ecuador;1;1;0;0;0;0;1;0;0
Adriano;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Filippine;1;0;0;0;0;0;0;0;2
Adriano;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Italia;24;23;25;27;35;39;35;36;42
Adriano;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Perù;0;0;0;1;2;2;2;2;1
Adriano;35-64;Femmine;4;Altre tipologie;Italia;0;1;0;0;0;0;1;2;2
Adriano;35-64;Femmine;4;Altre tipologie;Perù;0;1;1;1;0;0;0;0;0
Adriano;35-64;Femmine;4;Coppia convivente con almeno un figlio minorenne;Altri paesi;1;0;1;1;2;3;4;3;4
Adriano;35-64;Femmine;4;Coppia convivente con almeno un figlio minorenne;Cina;0;1;2;0;0;0;0;1;2
